eventID,year,month,day,hour,minute,second,latitude,longitude,depth,,,sigmaMagnitude,magnitude,location,Ref.,RMS(sec),Mag,Error,Depth,Error,Duplicate,Type
270,2013,10,26,18,28,47.90,5.7780,-0.443,13.40,,,0.3,3,Deep_learning,,,,,,,,
271,2013,11,2,15,12,52.90,5.9440,-0.402, 2.60,,,0.3,2.9,Deep_learning,,,,,,,,
272,2013,11,5,18,14,47.40,5.4630,-0.519,16.60,,,0.3,3.2,Deep_learning,,,,,,,,
273,2013,11,9,14,3,25.70,6.1730,-0.074, 7.10,,,0.3,2.5,Deep_learning,,,,,,,,
274,2013,11,18,18,52, 0.50,5.6860,-0.444, 2.50,,,0.3,2.6,Deep_learning,,,,,,,,
275,2013,11,29,19,9,48.40,5.5180,-0.524,11.70,,,0.3,3.5,Deep_learning,,,,,,,,
276,2013,12,10,0,51,55.40,5.5000,-0.361,11.80,,,0.3,3.3,Deep_learning,,,,,,,,
277,2013,12,11,17,44,44.00,6.1920,-0.088, 0.90,,,0.3,3.1,Deep_learning,,,,,,,,
278,2013,12,12,10,51,48.70,6.2160,-0.118, 0.10,,,0.3,3,Deep_learning,,,,,,,,
279,2013,12,14,16,27,44.90,5.9570,-0.461,16.20,,,0.3,3.1,Deep_learning,,,,,,,,
280,2013,12,19,2,23,36.60,5.6610,-0.376, 0.10,,,0.3,3.7,Deep_learning,,,,,,,,
281,2013,12,21,18,20,31.50,5.7820,-0.43,11.70,,,0.3,2.9,Deep_learning,,,,,,,,
282,2013,12,21,18,20,23.70,5.7360,-0.865, 1.60,,,0.3,3.2,Deep_learning,,,,,,,,
283,2014,1,9,18,18,47.50,5.7620,-0.399,13.90,,,0.3,3.1,Deep_learning,,,,,,,,
284,2014,1,10,6,20,39.70,5.7090,-0.239,14.10,,,0.3,2.9,Deep_learning,,,,,,,,
285,2014,1,13,22,9, 2.50,5.5830,-0.299,10.70,,,0.3,2.8,Deep_learning,,,,,,,,
286,2014,1,21,18,19, 6.90,5.7860,-0.42, 1.10,,,0.3,2.9,Deep_learning,,,,,,,,
287,2014,2,5,16,36, 8.40,6.1040,-0.052, 3.30,,,0.3,2.8,Deep_learning,,,,,,,,
288,2014,2,12,18,49,34.60,5.4560,-0.537,15.00,,,0.3,3.8,Deep_learning,,,,,,,,
289,2014,2,13,8,4,56.20,5.5570,-0.282,14.30,,,0.3,3.1,Deep_learning,,,,,,,,
290,2014,2,13,8,11,26.80,5.6210,-0.264, 1.70,,,0.3,3.2,Deep_learning,,,,,,,,
291,2014,2,23,15,19,46.70,5.7870,-0.397, 0.00,,,0.3,2.6,Deep_learning,,,,,,,,
292,2014,2,27,15,15,32.50,6.2760,-0.112,14.10,,,0.3,2.5,Deep_learning,,,,,,,,
293,2014,3,1,18,19,30.50,5.7380,-0.471,21.10,,,0.3,3.1,Deep_learning,,,,,,,,
294,2014,3,8,23,3,35.70,5.3880,-0.38,10.50,,,0.3,3.7,Deep_learning,,,,,,,,
295,2014,7,24,19,58,13.64,5.8781,-0.5973,10,,,0.3,3.6,ISC,,,,,,,,
296,2015,8,8,15,31,21.46,6.8599,2.2130,10.,,,0.3,3.8,IDC,,,,,,,,
297,2016,1,11,17,28,03.30,7.3027,-1.9072,30,,,0.3,4.3,ISC,,,,,,,,
298,2016,7,21,0,54,39.46,7.3605,-2.8692,0,,,0.3,2.0,ISC,,,,,,,,
299,2018,12,9,7,49,49.60,5.6849,-0.4578,0,,,0.3,2.0,ISC,,,,,,,,
300,2019,8,28,15,41,18.77,7.1715,-1.6102,0,,,0.3,2.7,ISC,,,,,,,,
301,2020,4,24,22,47,55.41,5.9495,-0.4048,0,,,0.3,3.4,ISC,,,,,,,,
302,2020,6,24,22,53,51.82,5.5998,-0.3433,10,,,0.3,4.1,ISC,,,,,,,,
