eventID,year,month,day,hour,minute,second,latitude,longitude,depth,,,sigmaMagnitude,magnitude,location,Ref.,RMS(sec),Mag,Error,Depth,Error,Duplicate,Type
64,1979,6,27,7,18,48.8,5.53,-0.43,13,,,0.3,1.8,GSD,,,,,,,,
65,1979,6,28,4,45,47.4,5.77,-0.28,7,,,0.3,1.5,GSD,,,,,,,,
66,1979,7,5,8,33,28.0,5.06,-0.38,17,,,0.3,1.3,GSD,,,,,,,,
67,1980,1,7,12,17,18.5,5.7,-0.43,13,,,0.3,3.4,BER,,,,,,,,
68,1981,3,26,21,38,41.1,4.54,-0.81,9,,,0.3,3.4,BER,,,,,,,,
69,1982,10,10,0,28,59.0,5.13,-0.58,10,,,0.3,2.9,BER,,,,,,,,
70,1983,11,28,3,21,46.0,5.62,0.05,14,,,0.3,3.3,BER,,,,,,,,
71,1985,1,22,1,43,49.6,5.61,-0.36,17,,,0.3,3.5,BER,,,,,,,,
72,1986,1,20,0,35,42.2,5.22,-0.57,17,,,0.3,3.5,BER,,,,,,,,
73,1987,7,7,1,21,35.6,5.44,-0.4,9,,,0.3,2.6,GSD,,,,,,,,
74,1987,7,31,13,12,45.0,5.67,-0.26,11,,,0.3,1.5,GSD,,,,,,,,
75,1987,11,5,0,0,29.7,5.58,-0.32,10,,,0.3,2.3,ISC,,,,,,,,
76,1987,12,3,17,29,51.7,5.5,-0.25,33,,,0.3,3,ISC,,,,,,,,
77,1987,12,3,10,37,4.0,5.53,-0.4,10,,,0.3,2.7,ISC,,,,,,,,
78,1988,2,27,0,51,57.9,5.52,-0.39,9,,,0.3,3,ISC,,,,,,,,
79,1988,3,6,12,15,5.9,5.62,-0.26,10,,,0.3,3,ISC,,,,,,,,
80,1988,3,20,0,0,32.7,5.56,-0.3,10,,,0.3,1.5,GSD,,,,,,,,
81,1988,3,25,0,10,24.0,5.59,-0.27,10,,,0.3,3,ISC,,,,,,,,
82,1988,3,29,16,54,6.4,5.58,-0.09,10,,,0.3,3.3,ISC,,,,,,,,
83,1988,4,24,3,7,43.3,5.61,-0.31,12,,,0.3,1.5,GSD,,,,,,,,
84,1988,5,6,1,48,36.6,5.6,-0.31,10,,,0.3,3,ISC,,,,,,,,
85,1988,5,12,19,43,46.8,5.48,-0.4,8,,,0.3,2.2,GSD,,,,,,,,
86,1988,5,31,7,35,33.8,5.42,-0.32,10,,,0.3,3,ISC,,,,,,,,
87,1989,3,23,13,32,48.5,5.52,-0.37,10,,,0.3,1.7,ISC,,,,,,,,
88,1989,6,27,18,28,34.4,5.3,-0.6,2,,,0.3,2.1,ISC,,,,,,,,
89,1990,2,12,1,34,56.4,5.6,-0.34,10,,,0.3,2.4,ISC,,,,,,,,
90,1990,3,27,1,42,52.1,5.2,-4.62,13,,,0.3,1.7,ISC,,,,,,,,
91,1990,4,14,11,43,30.3,5.59,-0.26,10,,,0.3,2.7,ISC,,,,,,,,
92,1990,9,15,9,32,47.1,5.4,-0.55,1,,,0.3,3.1,ISC,,,,,,,,
93,1990,9,24,14,33,28.2,9.56,-4.32,10,,,0.3,3.3,BER,,,,,,,,
94,1991,1,1,15,26,49.5,5.93,-0.12,18,,,0.3,2,GSD,,,,,,,,
95,1991,3,6,15,16,19.2,5.61,-0.3,14,,,0.3,1.8,GSD,,,,,,,,
96,1991,3,6,2,45,58.3,5.62,-0.31,8,,,0.3,2,GSD,,,,,,,,
97,1991,3,27,9,54,16.6,5.64,-0.29,16,,,0.3,2.9,GSD,,,,,,,,
98,1991,6,30,1,43,4.3,5.62,-0.35,14,,,0.3,2,GSD,,,,,,,,
99,1991,8,23,9,51,44.9,5.49,-0.49,8,,,0.3,3.4,ISC,,,,,,,,
100,1991,10,23,7,25,49.7,5.53,-0.35,5,,,0.3,2,GSD,,,,,,,,
101,1992,3,29,3,56,55.1,5.62,-0.33,10,,,0.3,1.6,GSD,,,,,,,,
102,1992,7,10,12,43,19.5,4.87,-0.85,2,,,0.3,2,ISC,,,,,,,,
103,1992,10,7,3,5,48.0,5.45,-4.84,2,,,0.3,2.5,ISC,,,,,,,,
104,1993,4,3,11,21,32.1,5.5,-0.27,13,,,0.3,1.8,GSD,,,,,,,,
105,1993,4,1,14,29,27.7,10.97,1.9,2,,,0.3,2,ISC,,,,,,,,
106,1993,4,6,14,29,49.0,11.3,1.62,2,,,0.3,4.1,ISC,,,,,,,,
107,1993,4,7,23,27,56.9,6.2,-4.96,2,,,0.3,2,ISC,,,,,,,,
108,1993,5,7,4,18,4.5,5.53,-0.23,21,,,0.3,2,GSD,,,,,,,,
109,1993,6,22,6,24,42.3,5.63,-0.56,2,,,0.3,2,GSD,,,,,,,,
110,1993,6,27,3,38,14.0,5.22,-0.33,27,,,0.3,3.2,ISC,,,,,,,,
111,1993,6,28,11,42,23.8,5.59,-0.32,9,,,0.3,2.2,GSD,,,,,,,,
112,1993,7,17,15,59,16.0,4.05,-2.44,16,,,0.3,2.6,ISC,,,,,,,,
113,1993,9,8,23,41,49.7,5.52,-0.34,17,,,0.3,1.8,GSD,,,,,,,,
114,1993,10,7,6,6,59.5,5.55,-0.36,12,,,0.3,2,GSD,,,,,,,,
115,1993,10,28,8,24,38.8,5.5,-0.34,8,,,0.3,1.8,GSD,,,,,,,,
116,1994,1,15,19,15,42.0,5.38,-0.34,16,,,0.3,2.5,ISC,,,,,,,,
117,1994,1,17,5,49,55.7,5.47,-0.35,12,,,0.3,2.3,ISC,,,,,,,,
118,1994,1,27,18,28,41.1,5.6,-0.27,8,,,0.3,2.4,ISC,,,,,,,,
119,1994,3,29,19,21,0.3,5.48,-4.6,2,,,0.3,2.3,ISC,,,,,,,,
120,1994,8,26,12,48,22.7,5.47,-0.27,11,,,0.3,2.1,ISC,,,,,,,,
121,1994,8,28,9,44,37.9,5.36,-0.31,14,,,0.3,2,ISC,,,,,,,,
122,1994,9,6,10,1,21.7,5.52,-0.37,18,,,0.3,2.3,ISC,,,,,,,,
123,1994,9,6,17,30,24.3,7.65,-3.48,34,,,0.3,2.7,ISC,,,,,,,,
124,1994,9,6,17,32,22.0,5.53,-0.42,11,,,0.3,2.1,ISC,,,,,,,,
125,1994,10,22,12,4,28.0,5.6,-0.4,16,,,0.3,2,ISC,,,,,,,,
126,1994,11,10,9,38,30.1,5.72,-0.92,13,,,0.3,2.3,ISC,,,,,,,,
127,1994,11,15,10,16,54.4,5.48,-0.38,11,,,0.3,1.7,ISC,,,,,,,,
128,1994,12,2,21,32,12.3,5.57,-0.23,18,,,0.3,1.8,ISC,,,,,,,,
129,1994,12,7,1,21,20.2,5.52,-0.24,18,,,0.3,2.1,ISC,,,,,,,,
130,1994,12,9,12,49,34.3,5.29,-4.07,9,,,0.3,2.1,ISC,,,,,,,,
131,1994,12,16,1,4,29.1,5.44,-0.5,16,,,0.3,1.7,ISC,,,,,,,,
132,1995,1,3,11,15,15.6,5.45,-0.28,14,,,0.3,1.7,ISC,,,,,,,,
